data_horario,total,total_sem_reagendado,compareceu,nao_compareceu,reagendado
"2022-02-22 15:00:00",11,10,2,8,1
"2022-02-22 16:00:00",3,1,0,1,2
"2022-02-22 17:00:00",5,5,2,3,0
"2022-02-23 09:00:00",5,4,0,4,1
"2022-02-23 09:30:00",1,1,1,0,0
"2022-02-23 10:00:00",3,3,0,3,0
"2022-02-23 11:00:00",1,1,1,0,0
"2022-02-23 12:00:00",4,4,2,2,0
"2022-02-23 14:00:00",6,4,3,1,2
"2022-02-23 15:00:00",2,1,0,1,1
"2022-02-23 16:00:00",5,3,0,3,2
"2022-02-23 17:00:00",6,4,1,3,2
"2022-02-24 09:00:00",4,3,2,1,1
"2022-02-24 10:00:00",4,4,1,3,0
"2022-02-24 11:00:00",2,2,2,0,0
"2022-02-24 12:00:00",1,1,0,1,0
"2022-02-24 14:00:00",6,5,2,3,1
"2022-02-24 15:00:00",2,2,0,2,0
"2022-02-24 16:00:00",1,1,1,0,0
"2022-02-24 17:00:00",5,5,1,4,0
"2022-02-25 09:00:00",2,1,0,1,1
"2022-02-25 10:00:00",2,1,1,0,1
"2022-02-25 11:00:00",2,2,0,2,0
"2022-02-25 12:00:00",2,2,1,1,0
"2022-02-25 14:00:00",6,5,1,4,1
"2022-02-25 15:00:00",2,1,0,1,1
"2022-02-25 16:00:00",1,1,0,1,0
"2022-02-25 17:00:00",8,7,2,5,1
"2022-02-26 08:00:00",4,2,1,1,2
"2022-02-26 09:00:00",5,4,1,3,1
"2022-02-26 10:00:00",8,7,2,5,1
"2022-02-26 11:00:00",5,4,1,3,1
"2022-02-26 13:00:00",4,4,0,4,0
"2022-02-26 14:00:00",6,5,1,4,1
"2022-02-26 15:00:00",9,9,3,6,0
"2022-02-26 16:00:00",10,8,1,7,2
"2022-03-01 09:00:00",10,9,2,7,1
"2022-03-01 10:00:00",10,9,7,2,1
"2022-03-01 11:00:00",5,4,1,3,1
"2022-03-01 12:00:00",2,2,2,0,0
"2022-03-01 14:00:00",2,2,0,2,0
"2022-03-01 15:00:00",9,9,2,7,0
"2022-03-01 16:00:00",2,2,0,2,0
"2022-03-01 17:00:00",6,4,0,4,2
"2022-03-02 09:00:00",6,6,2,4,0
"2022-03-02 10:00:00",6,5,1,4,1
"2022-03-02 11:00:00",7,6,1,5,1
"2022-03-02 12:00:00",2,2,1,1,0
"2022-03-02 14:00:00",2,2,1,1,0
"2022-03-02 14:30:00",1,1,1,0,0
"2022-03-02 15:00:00",11,10,2,8,1
"2022-03-02 16:00:00",2,2,0,2,0
"2022-03-02 17:00:00",1,1,0,1,0
"2022-03-03 09:00:00",5,3,2,1,2
"2022-03-03 10:00:00",8,7,4,3,1
"2022-03-03 11:00:00",6,6,1,5,0
"2022-03-03 12:00:00",3,3,1,2,0
"2022-03-03 14:00:00",4,3,2,1,1
"2022-03-03 15:00:00",6,5,0,5,1
"2022-03-03 16:00:00",1,1,1,0,0
"2022-03-03 17:00:00",8,6,1,5,2
"2022-03-04 09:00:00",2,2,0,2,0
"2022-03-04 10:00:00",5,4,0,4,1
"2022-03-04 11:00:00",4,4,1,3,0
"2022-03-04 12:00:00",1,1,0,1,0
"2022-03-04 14:00:00",4,3,0,3,1
"2022-03-04 15:00:00",4,4,1,3,0
"2022-03-04 16:00:00",3,3,2,1,0
"2022-03-04 17:00:00",3,2,1,1,1
"2022-03-05 08:00:00",4,3,1,2,1
"2022-03-05 09:00:00",8,8,4,4,0
"2022-03-05 10:00:00",8,8,2,6,0
"2022-03-05 11:00:00",6,4,1,3,2
"2022-03-05 13:00:00",4,3,0,3,1
"2022-03-05 14:00:00",10,8,2,6,2
"2022-03-05 15:00:00",12,10,1,9,2
"2022-03-05 16:00:00",8,8,1,7,0
"2022-03-08 09:00:00",7,4,2,2,3
"2022-03-08 10:00:00",4,4,0,4,0
"2022-03-08 11:00:00",5,4,1,3,1
"2022-03-08 12:00:00",7,6,3,3,1
"2022-03-08 14:00:00",5,5,3,2,0
"2022-03-08 15:00:00",2,2,2,0,0
"2022-03-08 16:00:00",4,4,1,3,0
"2022-03-08 17:00:00",7,7,0,7,0
"2022-03-09 09:00:00",7,7,1,6,0
"2022-03-09 10:00:00",2,1,1,0,1
"2022-03-09 11:00:00",4,4,2,2,0
"2022-03-09 12:00:00",4,4,1,3,0
